"Monday, 16 October 2023, 11:16 AM","","","","","","",""
"Submitted answers: 21","","","","","","",""
"Questions: 16","","","","","","",""
"","","","","","","",""
"Label","Question","Responses","","","","",""
"","How would you rate the overall user interface for ease of use and navigation? ","Very Easy","Easy","Neutral","Difficult","Very Difficult",""
"","","7","10","3","1","0",""
"","","33.33%","47.62%","14.29%","4.76%","0.00%","1"
"","How easy was it for you to find and access the desired content and features within the platform? ","Very Easy","Easy","Neutral","Difficult","Very Difficult",""
"","","5","12","3","1","0",""
"","","23.81%","57.14%","14.29%","4.76%","0.00%",""
"","Did the format of the learning materials effectively enhance your knowledge and skills in Advocacy? ","Strongly Agree","Agree","Neutral","Disagree","Strongly Disagree",""
"","","11","9","0","1","0",""
"","","52.38%","42.86%","0.00%","4.76%","0.00%",""
"","How helpful was the AI-powered chatbot in assisting you during your learning journey? ","very helpful","Helpful","Neutral","Not Helpful","Not Used",""
"","","12","3","1","1","1",""
"","","66.67%","16.67%","5.56%","5.56%","5.56%",""
"","How relevant were the responses provided by the AI-powered chatbot during your interaction? ","Very Relevant","Somewhat Relevant","Neutral","Not Relevant","",""
"","","14","6","1","0","",""
"","","66.67%","28.57%","4.76%","0.00%","",""
"","How many prompts did you have to give the AI-powered chatbot to get the desired response? ","1","2","3","More than 3","",""
"","","9","7","3","2","",""
"","","42.86%","33.33%","14.29%","9.52%","",""
"","What are your comments on the AI-powered chatbot on the platform? ","its been very helpful as i was stuck somehow but it helped me navigate my way through","","","","",""
"","","NA","","","","",""
"","","Easy to use and understand","","","","",""
"","","It easy to use ","","","","",""
"","","Its very effective and platform to be encouraged for consuption.","","","","",""
"","","Its relevant and quite helpful","","","","",""
"","","The AI- powered chatbot is fast and has the most effective communication ","","","","",""
"","","Not sure how to use it","","","","",""
"","","Somehow good but it needs some improvement.","","","","",""
"","","It was interesting ","","","","",""
"","","Good  but slow  in giving feedbacks","","","","",""
"","","Very effective while answering the questions ","","","","",""
"","","Responsive upon prompting and responding to command.
<br />Providing relevant responses aligning meaning to subject matter.
<br />Great help from the AI during the learning module.
<br />The layout of the learning materials is simple and provided much knowledge on Advocacy enhancing my skills and approach. 
<br />","","","","",""
"","","Its very effective","","","","",""
"","","efective enough","","","","",""
"","","Helpful","","","","",""
"","","awesome","","","","",""
"","","So much ","","","","",""
"","","Was very helpful in my training ","","","","",""
"","","To be reformed, to meet requirements of all devices.","","","","",""
"","","The Ai chatbot makes it easier to navigate through the platform ","","","","",""
"","","","","","","",""
"","How engaging did you find the form of the learning materials provided? ","Very Engaging","Engaging","Neutral","Not Engaging","Not Sure",""
"","","10","7","3","1","0",""
"","","47.62%","33.33%","14.29%","4.76%","0.00%",""
"","Which of the interactive features below did you find effective in enhancing your learning experience? (Select all that apply) ","Video","Images","Tabs","None of the above","",""
"","","1","8","11","1","",""
"","","4.76%","38.10%","52.38%","4.76%","",""
"","Did you find the Leader Board useful for monitoring your learning progress? ","Very Useful","Useful","Neutral","Not Useful","Not Sure",""
"","","15","4","0","0","2",""
"","","71.43%","19.05%","0.00%","0.00%","9.52%",""
"","How relevant and comprehensive did you find the content in addressing Advocacy? ","Very Relevant","Relevant","Neutral","Not Relevant","Not Sure",""
"","","17","3","1","0","0",""
"","","80.95%","14.29%","4.76%","0.00%","0.00%",""
"","Which device(s) did you use to undertake this course? (Select all that apply) ","Smartphone","Tablet","Laptop","Desktop","Other.",""
"","","16","1","4","0","0",""
"","","76.19%","4.76%","19.05%","0.00%","0.00%",""
"","How accessible was the platform on the device(s) you used? ","Very accessible","Somewhat accessible","Neutral","Not accessible","",""
"","","14","5","2","0","",""
"","","66.67%","23.81%","9.52%","0.00%","",""
